127.0.0.1 - - [21/Jan/2023:21:33:02 +0900] "GET / HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/main2.jpeg HTTP/1.1" 200 48166
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/offer-1.png HTTP/1.1" 200 32097
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/offer-2.png HTTP/1.1" 200 25716
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-2.jpg HTTP/1.1" 200 18920
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-3.jpg HTTP/1.1" 200 19947
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-4.jpg HTTP/1.1" 200 19052
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-6.jpg HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-1.jpg HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-7.jpg HTTP/1.1" 200 13130
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-5.jpg HTTP/1.1" 200 17157
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/product-8.jpg HTTP/1.1" 200 20068
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/vendor-1.jpg HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/vendor-2.jpg HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 200 43740
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 200 183100
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:03 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/main.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/main2.jpeg HTTP/1.1" 200 48166
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/main3.jpg HTTP/1.1" 200 57526
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/offer-1.png HTTP/1.1" 200 32097
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-1.jpg HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/offer-2.png HTTP/1.1" 200 25716
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-2.jpg HTTP/1.1" 200 18920
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-5.jpg HTTP/1.1" 200 17157
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-3.jpg HTTP/1.1" 200 19947
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-4.jpg HTTP/1.1" 200 19052
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-6.jpg HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-7.jpg HTTP/1.1" 200 13130
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/vendor-2.jpg HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/vendor-1.jpg HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-8.jpg HTTP/1.1" 200 20068
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/foot_logo.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/qr.png HTTP/1.1" 200 48447
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/payments.png HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 200 43740
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /favicon.ico HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/main.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/main2.jpeg HTTP/1.1" 200 48166
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 200 183100
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/main3.jpg HTTP/1.1" 200 57526
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/offer-1.png HTTP/1.1" 200 32097
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/offer-2.png HTTP/1.1" 200 25716
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-1.jpg HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-2.jpg HTTP/1.1" 200 18920
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-3.jpg HTTP/1.1" 200 19947
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-4.jpg HTTP/1.1" 200 19052
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-5.jpg HTTP/1.1" 200 17157
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-6.jpg HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-7.jpg HTTP/1.1" 200 13130
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/product-8.jpg HTTP/1.1" 200 20068
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/vendor-1.jpg HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/vendor-2.jpg HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/foot_logo.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/payments.png HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:04 +0900] "GET /springweb/z01_oliveyoung/img/qr.png HTTP/1.1" 200 48447
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /favicon.ico HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 200 43740
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 200 183100
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/main.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/main2.jpeg HTTP/1.1" 200 48166
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/main3.jpg HTTP/1.1" 200 57526
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/offer-1.png HTTP/1.1" 200 32097
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/offer-2.png HTTP/1.1" 200 25716
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-1.jpg HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-2.jpg HTTP/1.1" 200 18920
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-4.jpg HTTP/1.1" 200 19052
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-3.jpg HTTP/1.1" 200 19947
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-6.jpg HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-5.jpg HTTP/1.1" 200 17157
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-8.jpg HTTP/1.1" 200 20068
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/vendor-2.jpg HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/vendor-1.jpg HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-7.jpg HTTP/1.1" 200 13130
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/foot_logo.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/qr.png HTTP/1.1" 200 48447
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 200 43740
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/payments.png HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 200 183100
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/main.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/main2.jpeg HTTP/1.1" 200 48166
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/main3.jpg HTTP/1.1" 200 57526
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/offer-1.png HTTP/1.1" 200 32097
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-1.jpg HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/offer-2.png HTTP/1.1" 200 25716
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-2.jpg HTTP/1.1" 200 18920
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-3.jpg HTTP/1.1" 200 19947
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-4.jpg HTTP/1.1" 200 19052
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-5.jpg HTTP/1.1" 200 17157
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-6.jpg HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-7.jpg HTTP/1.1" 200 13130
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/product-8.jpg HTTP/1.1" 200 20068
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/vendor-1.jpg HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/vendor-2.jpg HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/qr.png HTTP/1.1" 200 48447
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/foot_logo.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /springweb/z01_oliveyoung/img/payments.png HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:05 +0900] "GET /favicon.ico HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:13 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 200 43740
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 200 183100
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:35:14 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 200 2598
